Date,Close,High,Low,Open,Volume,Asset
2022-07-06,20548.24609375,20595.529296875,19823.51171875,20194.619140625,24598943708,BTC-USD
2022-07-07,21637.587890625,21771.81640625,20296.103515625,20547.814453125,25814972520,BTC-USD
2022-07-08,21731.1171875,22314.94140625,21257.453125,21637.154296875,49899834488,BTC-USD
2022-07-09,21592.20703125,21877.138671875,21445.95703125,21716.828125,29641127858,BTC-USD
2022-07-10,20860.44921875,21591.080078125,20727.123046875,21591.080078125,28688807249,BTC-USD
2022-07-11,19970.556640625,20856.353515625,19924.5390625,20856.353515625,24150249025,BTC-USD
2022-07-12,19323.9140625,20043.4453125,19308.53125,19970.474609375,25810220018,BTC-USD
2022-07-13,20212.07421875,20223.052734375,18999.953125,19325.97265625,33042430345,BTC-USD
2022-07-14,20569.919921875,20789.89453125,19689.2578125,20211.466796875,31158743333,BTC-USD
2022-07-15,20836.328125,21138.244140625,20397.0,20573.15625,25905575359,BTC-USD
2022-07-16,21190.31640625,21514.404296875,20518.8984375,20834.103515625,24302954056,BTC-USD
2022-07-17,20779.34375,21600.640625,20778.1796875,21195.041015625,22927802083,BTC-USD
2022-07-18,22485.689453125,22633.033203125,20781.912109375,20781.912109375,39974475562,BTC-USD
2022-07-19,23389.43359375,23666.962890625,21683.40625,22467.849609375,48765202697,BTC-USD
2022-07-20,23231.732421875,24196.818359375,23009.94921875,23393.19140625,42932549127,BTC-USD
2022-07-21,23164.62890625,23388.322265625,22431.1484375,23233.201171875,33631012204,BTC-USD
2022-07-22,22714.978515625,23671.927734375,22603.416015625,23163.751953125,31421555646,BTC-USD
2022-07-23,22465.478515625,22977.2109375,22002.91015625,22706.984375,24021799169,BTC-USD
2022-07-24,22609.1640625,22974.001953125,22306.83984375,22465.509765625,23565495303,BTC-USD
2022-07-25,21361.701171875,22649.12109375,21361.642578125,22607.15625,35574561406,BTC-USD
2022-07-26,21239.75390625,21361.12109375,20776.81640625,21361.12109375,28624673855,BTC-USD
2022-07-27,22930.548828125,22986.529296875,21070.806640625,21244.169921875,31758955233,BTC-USD
2022-07-28,23843.88671875,24110.470703125,22722.265625,22933.640625,40212386158,BTC-USD
2022-07-29,23804.6328125,24294.787109375,23481.173828125,23845.212890625,35887249746,BTC-USD
2022-07-30,23656.20703125,24572.580078125,23580.5078125,23796.818359375,28148218301,BTC-USD
2022-07-31,23336.896484375,24121.642578125,23275.703125,23652.0703125,23553591896,BTC-USD
2022-08-01,23314.19921875,23464.787109375,22890.796875,23336.71875,25849159141,BTC-USD
2022-08-02,22978.1171875,23415.041015625,22710.083984375,23308.43359375,28389250717,BTC-USD
2022-08-03,22846.5078125,23578.650390625,22747.8359375,22981.302734375,26288169966,BTC-USD
2022-08-04,22630.95703125,23198.009765625,22485.701171875,22848.21484375,25120229769,BTC-USD
2022-08-05,23289.314453125,23422.828125,22612.177734375,22626.833984375,28881249043,BTC-USD
2022-08-06,22961.279296875,23326.5625,22961.279296875,23291.423828125,15978259885,BTC-USD
2022-08-07,23175.890625,23359.009765625,22894.556640625,22963.505859375,15886817043,BTC-USD
2022-08-08,23809.486328125,24203.689453125,23176.546875,23179.52734375,28575544847,BTC-USD
2022-08-09,23164.318359375,23898.615234375,22982.0,23811.484375,23555719219,BTC-USD
2022-08-10,23947.642578125,24127.4140625,22771.51953125,23162.8984375,32837431722,BTC-USD
2022-08-11,23957.529296875,24822.62890625,23900.99609375,23948.345703125,37127036580,BTC-USD
2022-08-12,24402.818359375,24412.56640625,23657.265625,23957.203125,27265804688,BTC-USD
2022-08-13,24424.068359375,24860.05078125,24346.115234375,24402.1875,22987346289,BTC-USD
2022-08-14,24319.333984375,24974.9140625,24206.259765625,24429.056640625,22994133555,BTC-USD
2022-08-15,24136.97265625,25135.58984375,23839.775390625,24318.31640625,35123501685,BTC-USD
2022-08-16,23883.291015625,24228.416015625,23733.5,24126.13671875,27753685646,BTC-USD
2022-08-17,23335.998046875,24407.05859375,23243.353515625,23881.31640625,30931623076,BTC-USD
2022-08-18,23212.73828125,23563.83203125,23177.6015625,23341.0390625,23747613147,BTC-USD
2022-08-19,20877.552734375,23213.3125,20868.84765625,23213.3125,40509610260,BTC-USD
2022-08-20,21166.060546875,21350.806640625,20856.73046875,20872.841796875,27595671000,BTC-USD
2022-08-21,21534.12109375,21668.845703125,21103.197265625,21160.392578125,23102307723,BTC-USD
2022-08-22,21398.908203125,21531.462890625,20939.18359375,21531.462890625,31666498758,BTC-USD
2022-08-23,21528.087890625,21646.203125,20955.138671875,21401.044921875,31878280659,BTC-USD
2022-08-24,21395.01953125,21783.076171875,21195.005859375,21526.455078125,31962253368,BTC-USD
2022-08-25,21600.904296875,21789.63671875,21362.44140625,21395.458984375,31028679593,BTC-USD
2022-08-26,20260.01953125,21804.908203125,20199.482421875,21596.0859375,42326789564,BTC-USD
2022-08-27,20041.73828125,20340.775390625,19890.5234375,20262.48046875,30116729776,BTC-USD
2022-08-28,19616.814453125,20139.0546875,19616.814453125,20041.03515625,24366810591,BTC-USD
2022-08-29,20297.994140625,20357.462890625,19600.78515625,19615.154296875,32637854078,BTC-USD
2022-08-30,19796.80859375,20542.64453125,19617.640625,20298.611328125,34483360283,BTC-USD
2022-08-31,20049.763671875,20420.990234375,19799.58203125,19799.58203125,33225232872,BTC-USD
2022-09-01,20127.140625,20198.390625,19653.96875,20050.498046875,30182031010,BTC-USD
2022-09-02,19969.771484375,20401.568359375,19814.765625,20126.072265625,29123998928,BTC-USD
2022-09-03,19832.087890625,20037.009765625,19698.35546875,19969.71875,23613051457,BTC-USD
2022-09-04,19986.712890625,19999.689453125,19636.81640625,19832.470703125,25245861652,BTC-USD
2022-09-05,19812.37109375,20031.16015625,19673.046875,19988.7890625,28813460025,BTC-USD
2022-09-06,18837.66796875,20155.26953125,18800.171875,19817.724609375,43403978910,BTC-USD
2022-09-07,19290.32421875,19427.171875,18644.466796875,18837.68359375,35239757134,BTC-USD
2022-09-08,19329.833984375,19417.3515625,19076.71484375,19289.94140625,32194477850,BTC-USD
2022-09-09,21381.15234375,21439.41015625,19310.962890625,19328.140625,48469528171,BTC-USD
2022-09-10,21680.5390625,21760.275390625,21168.72265625,21376.912109375,36913738894,BTC-USD
2022-09-11,21769.255859375,21770.552734375,21406.9453125,21678.54296875,34493951963,BTC-USD
2022-09-12,22370.44921875,22439.181640625,21603.896484375,21770.1484375,50212088965,BTC-USD
2022-09-13,20296.70703125,22673.8203125,20062.669921875,22371.48046875,51091116622,BTC-USD
2022-09-14,20241.08984375,20467.201171875,19793.396484375,20184.5546875,37872380889,BTC-USD
2022-09-15,19701.2109375,20318.166015625,19636.734375,20242.2890625,36389011503,BTC-USD
2022-09-16,19772.583984375,19870.62890625,19400.076171875,19704.005859375,30123362273,BTC-USD
2022-09-17,20127.576171875,20162.53125,19777.033203125,19777.033203125,24957448100,BTC-USD
2022-09-18,19419.505859375,20127.234375,19387.4921875,20127.234375,31254779144,BTC-USD
2022-09-19,19544.12890625,19639.48046875,18390.318359375,19418.572265625,40177002624,BTC-USD
2022-09-20,18890.7890625,19602.45703125,18813.455078125,19545.591796875,36791346508,BTC-USD
2022-09-21,18547.400390625,19674.630859375,18290.314453125,18891.283203125,46363793975,BTC-USD
2022-09-22,19413.55078125,19456.91015625,18415.591796875,18534.650390625,41135767926,BTC-USD
2022-09-23,19297.638671875,19464.671875,18617.552734375,19412.400390625,38896078052,BTC-USD
2022-09-24,18937.01171875,19310.197265625,18861.974609375,19296.990234375,26149643168,BTC-USD
2022-09-25,18802.09765625,19134.732421875,18696.46875,18936.310546875,23359966112,BTC-USD
2022-09-26,19222.671875,19274.873046875,18721.28515625,18803.900390625,44148798321,BTC-USD
2022-09-27,19110.546875,20338.455078125,18915.66796875,19221.83984375,58571439619,BTC-USD
2022-09-28,19426.720703125,19688.34375,18553.296875,19104.62109375,53071298734,BTC-USD
2022-09-29,19573.05078125,19589.265625,18924.353515625,19427.779296875,41037843771,BTC-USD
2022-09-30,19431.7890625,20109.849609375,19265.662109375,19573.431640625,43975248085,BTC-USD
2022-10-01,19312.095703125,19471.154296875,19231.08203125,19431.10546875,18719537670,BTC-USD
2022-10-02,19044.107421875,19370.30859375,18970.62109375,19311.849609375,20765955327,BTC-USD
2022-10-03,19623.580078125,19653.54296875,19025.2265625,19044.068359375,30484729489,BTC-USD
2022-10-04,20336.84375,20380.34375,19523.83984375,19623.583984375,35887278685,BTC-USD
2022-10-05,20160.716796875,20343.748046875,19801.80078125,20335.900390625,33223790572,BTC-USD
2022-10-06,19955.443359375,20408.392578125,19900.087890625,20161.0390625,34711412966,BTC-USD
2022-10-07,19546.849609375,20041.0859375,19395.79296875,19957.55859375,29227315390,BTC-USD
2022-10-08,19416.568359375,19601.6953125,19299.4140625,19546.328125,16437423167,BTC-USD
2022-10-09,19446.42578125,19542.5390625,19349.259765625,19417.478515625,16837262532,BTC-USD
2022-10-10,19141.484375,19515.466796875,19102.978515625,19446.416015625,27425022774,BTC-USD
